,pi_lo,pi_hi
2025-09-01,2367.191787109375,2396.88498046875
2025-09-02,2367.311904296875,2397.00509765625
2025-09-03,2351.255751953125,2380.9489453125
2025-09-04,2282.9449609375,2312.638154296875
2025-09-05,2277.8258203125,2307.519013671875
2025-09-08,2275.602919921875,2305.29611328125
2025-09-09,2275.19447265625,2304.887666015625
2025-09-10,2264.6969140625,2294.390107421875
2025-09-11,2264.271376953125,2293.9645703125
2025-09-12,2263.856337890625,2293.54953125
2025-09-15,2264.2320703125,2293.925263671875
2025-09-16,2264.261123046875,2293.95431640625
2025-09-17,2265.266005859375,2294.95919921875
2025-09-18,2265.2066796875,2294.899873046875
2025-09-19,2265.642470703125,2295.3356640625
2025-09-22,2265.21498046875,2294.908173828125
2025-09-23,2265.642470703125,2295.3356640625
2025-09-24,2265.04701171875,2294.740205078125
2025-09-25,2266.0445703125,2295.737763671875
2025-09-26,2265.04701171875,2294.740205078125
2025-09-29,2266.054091796875,2295.74728515625
2025-09-30,2265.04701171875,2294.740205078125
2025-10-01,2266.0445703125,2295.737763671875
2025-10-02,2265.04701171875,2294.740205078125
2025-10-03,2266.054091796875,2295.74728515625
2025-10-06,2265.04701171875,2294.740205078125
2025-10-07,2266.054091796875,2295.74728515625
2025-10-08,2265.056533203125,2294.7497265625
2025-10-09,2266.87708984375,2296.570283203125
2025-10-10,2265.056533203125,2294.7497265625
2025-10-13,2267.713759765625,2297.406953125
2025-10-14,2265.047255859375,2294.74044921875
2025-10-15,2267.941787109375,2297.63498046875
2025-10-16,2264.637099609375,2294.33029296875
2025-10-17,2267.941787109375,2297.63498046875
2025-10-20,2264.078017578125,2293.7712109375
2025-10-21,2267.941298828125,2297.6344921875
2025-10-22,2264.08607421875,2293.779267578125
2025-10-23,2267.951796875,2297.644990234375
2025-10-24,2264.080458984375,2293.77365234375
2025-10-27,2267.572646484375,2297.26583984375
2025-10-28,2264.080458984375,2293.77365234375
2025-10-29,2266.711318359375,2296.40451171875
